web-scraper-order,web-scraper-start-url,ranking,World Rank,University,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1533715878-38,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,38,19324,Kaatsu International University Sri Lanka,22555,21162,9245,5974
1533715878-15,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,15,8713,South Eastern University of Sri Lanka,655,12761,5182,5974
1533715878-1,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,1,2012,University of Peradeniya,1099,5460,1431,1681
1533715878-46,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,46,22608,Northshore College,13917,22785,10776,5974
1533715878-3,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,3,2654,University of Ruhuna,783,8473,1278,2150
1533715878-12,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,12,5391,General Sir John Kotelawala Defence University,4461,4388,4988,5974
1533715878-44,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,44,22324,Institute of Engineering Technology,22097,21847,10776,5974
1533715878-18,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,18,12518,National Institute of Fundamental Studies Sri Lanka,21624,20805,10776,4095
1533715878-16,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,16,10446,Uva Wellassa University,2841,15378,4146,5974
1533715878-55,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,55,26614,Sri Lanka International Buddhist Academy SIBA,25689,26488,10776,5974
1533715878-33,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,33,17277,ANC Education,24956,15403,10776,5974
