Faculty Name,url,type,dName, ,dUrl 
Faculty of Medical Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#med,Undergraduate,('\n4. Pharmacy (Special) Degree course (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#med
Faculty of Medical Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#med,Undergraduate,('\n5. Pharmacy (General) Degree course (03 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#med
Faculty of Medical Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#med,Undergraduate,('\n6. B.Sc. Medical Laboratory Seience (Special) Degree course (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#med
Faculty of Medical Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#med,Undergraduate,('\n7. B.Sc. Medical Laboratory Science (General) Degree course\xa0(03 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#med
Faculty of Medical Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#med,Undergraduate,('\n8. B.Sc. Human Biology (Special) Degree course\xa0(04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#med
Faculty of Medical Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#med,Undergraduate,('\n9. B.Sc. Human Biology (General) Degree course\xa0(03 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#med
Faculty of Technology,https://www.sjp.ac.lk/courses/undergraduate-courses/#tech,Undergraduate,('1. Bachelor of Engineering Technology in Enery and Environment (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
Faculty of Technology,https://www.sjp.ac.lk/courses/undergraduate-courses/#tech,Undergraduate,('\n2. Bachelor of Engineering Technology in Mechatronic\xa0(04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
Faculty of Technology,https://www.sjp.ac.lk/courses/undergraduate-courses/#tech,Undergraduate,('\n3. Bachelor of Engineering Technology in Corstnaction& Building Services (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
Faculty of Technology,https://www.sjp.ac.lk/courses/undergraduate-courses/#tech,Undergraduate,('\n4. Bachelor of Engineering Technology in Archaeotechnology\xa0(04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
Faculty of Technology,https://www.sjp.ac.lk/courses/undergraduate-courses/#tech,Undergraduate,('\n5. Bachelor of Biosystems Technology in Bio Process (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
Faculty of Technology,https://www.sjp.ac.lk/courses/undergraduate-courses/#tech,Undergraduate,('\n6. Bachelor of Biosystems Technology in Polymer Process\xa0(04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
