web-scraper-order,web-scraper-start-url,more_courses_programs_degrees_uom,more_courses_programs_degrees_uom-href
1533791571-806,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Architecture (Undergraduate),http://www.mrt.ac.lk/foa/
1533791571-813,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,BSc. in Information Technology and Management(Hons.),http://www.mrt.ac.lk/
1533791571-832,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Honours Degree of Bachelor of Science in Facilities Management,http://www.becon.mrt.ac.lk/courses.htm#fm
1533791571-836,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Information Technology (Undergraduate),http://www.itfac.mrt.ac.lk/programs/bsc.htm
1533791571-805,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Architectural Education,http://www.mrt.ac.lk/foa/
1533791571-818,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Development Planning Techniques and Models (PhD),http://www.mrt.ac.lk/foa/
1533791571-839,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Lean Construction & Construction Waste Management (PhD),http://www.mrt.ac.lk/foa/
1533791571-811,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Bachelor of Design,http://www.mrt.ac.lk/foa/
1533791571-820,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,"Disaster Management Systems (MPhil, PhD)",http://www.itfac.mrt.ac.lk/Research/index.htm
1533791571-816,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Construction Economics (PhD),http://www.mrt.ac.lk/foa/
1533791571-812,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Bachelor of IT,http://www.codl.lk/
1533791571-815,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,"Community Planning, Local Governance and Participatory Approaches. (PhD)",http://www.mrt.ac.lk/foa/
1533791571-814,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,BSc.(IT)Hons.- Batch 09 onwards,http://www.mrt.ac.lk/
1533791571-840,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,M.Sc Architecture,http://www.mrt.ac.lk/foa/
1533791571-852,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,"Ontological Modelling (MPhil, PhD)",http://www.itfac.mrt.ac.lk/Research/index.htm
1533791571-833,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Honours Degree of Bachelor of Science in Quantity Surveying,http://www.becon.mrt.ac.lk/courses.htm#qs
1533791571-822,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,E-learning and e-procurement in construction (PhD),http://www.mrt.ac.lk/foa/
