program Catagory,program Type,program type link,Degree Name,degree url
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Computer Science,https://www.mrt.ac.lk/web/msc-pg-diploma-computer-science
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Business Administration in Information Technology,https://www.mrt.ac.lk/web/mba-pg-diploma-information-technology
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Business Administration in e-Governance,https://www.mrt.ac.lk/web/mba-pg-diploma-e-governance
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Remote Sensing & Geographical Information Systems,https://www.mrt.ac.lk/web/msc-pg-diploma-remote-sensing-and-gis
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Mining and Mineral Exploration,  
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Gemmology,  
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Gemmology,  
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Electrical Engineering,https://www.mrt.ac.lk/web/msc-pg-diploma-electrical-engineering
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Electrical Installations,https://www.mrt.ac.lk/web/msc-pg-diploma-electrical-installation
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Industrial Automation,https://www.mrt.ac.lk/web/msc-pg-diploma-industrial-automation
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Electronics & Telecommunication Engineering (not currently conducted),  
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Telecommunications,https://www.mrt.ac.lk/web/msc-pg-diploma-telecommunication
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Electronics & Automation,https://www.mrt.ac.lk/web/msc-pg-diploma-electronics-and-automation
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Business Administration in Management of Technology,https://www.mrt.ac.lk/web/mba-pg-diploma-management-technology
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Business Administration in Entrepreneurship,https://www.mrt.ac.lk/web/mbapg-diploma-entrepreneurship
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Materials Science,https://www.mrt.ac.lk/web/msc-pg-diploma-materials-science
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Operational Research,https://www.mrt.ac.lk/web/msc-pg-diploma-operational-research
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Financial Mathematics,https://www.mrt.ac.lk/web/msc-pg-diploma-financial-mathematics
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Business Statistics,https://www.mrt.ac.lk/web/msc-pg-diploma-business-statistics
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Engineering in Manufacturing Systems Engineering,https://www.mrt.ac.lk/web/meng-pg-diploma-manufacturing-systems-engineering
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Engineering in Energy Technology,https://www.mrt.ac.lk/web/meng-pg-diploma-energy-technology
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Building Services Engineering,https://www.mrt.ac.lk/web/msc-pg-diploma-building-services-engineering
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Textile & Clothing Management,https://www.mrt.ac.lk/web/msc-pg-diploma-textile-and-clothing-management
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Supply Chain Management,https://www.mrt.ac.lkhttp://www.tlm.mrt.ac.lk/en/mba
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Artificial Intelligence,https://www.mrt.ac.lk/web/msc-pg-diploma-artificial-intelligence
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Information Technology,https://www.mrt.ac.lk/web/msc-pg-diploma-information-technology
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Multimedia Technologies,  
