program Catagory,program catagory link,faculty name,faculty link,faculty program ,faculty program links
UNDERGRADUATE STUDIES,https://www.mrt.ac.lk/web/eugs,Faculty of Information Technology,https://www.mrt.ac.lk/web/itfac/education/undergraduate,B.Sc. (Hons) in Information Technology (IT) - Batch 09 onwards,https://www.mrt.ac.lk/web/itfac/education/undergraduate-programmes/13-undergraduate-programs/52-bsc-it-hons-batch-09-onwards
UNDERGRADUATE STUDIES,https://www.mrt.ac.lk/web/eugs,Faculty of Information Technology,https://www.mrt.ac.lk/web/itfac/education/undergraduate,B.Sc. (Hons) in Information Technology & Management (ITM),https://www.mrt.ac.lk/web/itfac/about/13-undergraduate-programs/137-bsc-in-information-technology-and-management-hons
UNDERGRADUATE STUDIES,https://www.mrt.ac.lk/web/eugs,Faculty of Information Technology,https://www.mrt.ac.lk/web/itfac/education/undergraduate,Academic Calendar 2018,https://www.mrt.ac.lk/web/sites/default/files/Faculty/IT/files/Academic%20Calendar2018_v3_web.pdf
UNDERGRADUATE STUDIES,https://www.mrt.ac.lk/web/eugs,Faculty of Business,https://www.mrt.ac.lk/web/business,B.Sc. (Hons) in Information Technology (IT) - Batch 09 onwards,https://www.mrt.ac.lk/web/itfac/education/undergraduate-programmes/13-undergraduate-programs/52-bsc-it-hons-batch-09-onwards
UNDERGRADUATE STUDIES,https://www.mrt.ac.lk/web/eugs,Faculty of Business,https://www.mrt.ac.lk/web/business,B.Sc. (Hons) in Information Technology & Management (ITM),https://www.mrt.ac.lk/web/itfac/about/13-undergraduate-programs/137-bsc-in-information-technology-and-management-hons
UNDERGRADUATE STUDIES,https://www.mrt.ac.lk/web/eugs,Faculty of Business,https://www.mrt.ac.lk/web/business,Academic Calendar 2018,https://www.mrt.ac.lk/web/sites/default/files/Faculty/IT/files/Academic%20Calendar2018_v3_web.pdf
